question,answer
"What is Python?","Python is a high-level general-purpose programming language widely used for web development, automation, data analysis, and artificial intelligence."
"What is Artificial Intelligence?","Artificial Intelligence is a field of computer science that focuses on creating systems capable of performing tasks that normally require human intelligence."
"What is Machine Learning?","Machine Learning is a branch of Artificial Intelligence that allows computers to learn patterns from data and make predictions or decisions."
"What is Deep Learning?","Deep Learning is a subfield of Machine Learning that uses artificial neural networks with multiple layers to learn complex patterns from large amounts of data."
"What is Data Science?","Data Science is the field of extracting useful insights and knowledge from data using statistics, programming, and machine learning techniques."
"What is NLP?","Natural Language Processing is a field of Artificial Intelligence that enables computers to process and understand human language."
"What is a chatbot?","A chatbot is a software application designed to interact with users through natural language."
"What is an API?","An API is a set of rules and protocols that allows different software applications to communicate with each other."
"What is a dataset?","A dataset is a structured collection of data used for analysis, machine learning, research, or other computational tasks."
"What is supervised learning?","Supervised learning is a machine learning approach where a model learns from labeled training data."
"What is unsupervised learning?","Unsupervised learning is a machine learning approach where a model discovers patterns or structures in data without labeled answers."
"What is classification?","Classification is a machine learning task that assigns data to predefined categories or classes."
"What is regression?","Regression is a machine learning task used to predict continuous numerical values."
"What is a neural network?","A neural network is a computational model inspired by the human brain that consists of interconnected artificial neurons."
"What is an LSTM?","LSTM stands for Long Short-Term Memory. It is a type of recurrent neural network designed to learn dependencies in sequential data."
"What is Computer Vision?","Computer Vision is a field of Artificial Intelligence that enables computers to analyze and understand images and videos."
"What is object detection?","Object detection is a computer vision technique used to identify objects in an image or video and locate them using bounding boxes."
"What is YOLO?","YOLO stands for You Only Look Once. It is a real-time object detection algorithm designed to detect multiple objects in images and videos."
"What is GitHub?","GitHub is a platform used to host, manage, and collaborate on software development projects using Git."
"What is Git?","Git is a distributed version control system used to track changes in source code and collaborate with other developers."
